NAME,YEAR,MONTH,DSI,Garden land without Road Access,Garden land with Road Access,Wet Land,Rocky Land,Residential Plot with Private Road Access,Residential Plot with NH/PWD Road Acess,Commercially Important Plot
Alakode,2025,2,0.5886406295116866,63914.25188051168,74582.64154006014,54616.998946469685,34604.23797440731,66300.48677048844,68804.98834629352,172108.79784941862
Arakkulam,2025,2,0.5885491487809906,42477.917731104775,61523.734200227926,36013.22859660997,27523.580264136937,70676.75586422719,68808.95066034234,215622.7440984099
Elappally,2025,2,0.6143986523650065,10269.520329158724,22879.614421066053,15572.654228353433,6770.719229718884,17865.485002462072,67707.19229718884,39797.49107748238
Kanjikuzhy,2025,2,0.5775120839351049,27160.440232648372,37682.87620828484,36265.19518588577,18658.511520607055,66768.2029904076,69290.37255127398,191471.6262415942
Karimkunnam,2025,2,0.6977319050117948,25237.154668246825,48442.357192685624,33697.18355596465,25753.512595792465,62040.21184326405,64383.78148948116,177913.13412627552
Karimannoor,2025,2,0.6553919402914264,25882.64545039232,35910.04107796663,34559.05652284895,104592.35265427173,63627.014531348636,66030.5256655756,62232.44982929168
Kodikkulam,2025,2,0.5795691433054546,27125.069423893226,37633.80212125642,36217.967332714004,36537.67196238487,66681.2513313524,69200.13629239559,191222.2743822054
Kudayathoor,2025,2,0.5925614173414384,18119.797004860633,24708.81547024912,35922.4975621362,2059.067841461436,66137.25906774131,68635.59471538119,189662.26409719855
Kumaramangalam,2025,2,0.7008172237238455,21462.60329142045,23778.785536667765,33636.05614643561,25706.79517477596,61927.669576035296,64266.987936939906,848324.2407676068
Manakkad,2025,2,0.7100182983805207,25055.82701224741,34762.89852120167,33455.07102829239,25568.474934687903,61594.45611766316,63921.18733671976,176634.83742418268
Muttom,2025,2,0.6855973693844337,25418.83574939784,35266.54327759713,33939.767984386555,25938.910913207652,62486.83638991724,64847.27728301914,179193.92235236254
Purapuzha,2025,2,0.7078889202896252,25087.066356009942,34806.24054046749,33496.78246188194,25600.353442532723,61671.25144306133,64000.88360633181,193618.31754114598
Udumbannoor,2025,2,0.5787427798058089,27139.26753620384,37653.500833943304,36236.924953054666,27694.543125877688,66716.15439023936,69236.35781469422,191322.36611968785
Vannappuram,2025,2,0.5739538755984644,27221.84133617556,37768.06518767722,36347.179240082565,20139.634643325968,66919.14462865138,69447.01601146885,191904.48259608165
Velliyamattom,2025,2,0.5923749707212786,26906.930503053944,37331.15231588565,35926.70362438995,27457.45242415832,66145.00288979738,68643.6310603958,189684.4711079611
Keerikode,2025,2,0.7008779726936578,28919.111652731797,34949.7104027148,33634.854792903934,71256.69111233116,61925.45775238303,64264.69256162622,177584.05304553983
Alakode,2025,3,0.5870793661379641,63977.1264806413,74656.01099406251,54670.727526058785,34638.27932764882,66365.70879017017,68872.6741284456,172278.10706489382
Arakkulam,2025,3,0.569850884650559,42983.865992314146,62256.53439393703,36442.176891682546,27851.40960042993,71518.5763593792,69628.52400107482,218190.99504574618
Elappally,2025,3,0.587565271483008,10443.09804304404,23266.33074651214,15835.866689446591,6885.15943019417,18167.451398631012,68851.5943019417,40470.15711232984
Kanjikuzhy,2025,3,0.5822347111176536,27079.37221383207,37570.40100201651,36156.95144975618,18602.819913619827,66568.91439677683,69083.55582895063,190900.12499691691
Karimkunnam,2025,3,0.655178046456122,25885.990189234803,49687.787689117475,34563.52248900891,26415.623439190575,63635.2368650101,66039.05859797644,182487.19814374842
Karimannoor,2025,3,0.6318628415963832,26255.83571109789,36427.811860614005,35057.348064887025,106100.42289499224,64544.42392778695,66982.590211485,63129.75162252038
Kodikkulam,2025,3,0.5789264918584532,27136.109814440322,37649.11975479673,36232.70869606045,36552.54345125897,66708.39179854761,69228.30199102078,191300.1052831145
Kudayathoor,2025,3,0.5878675824682831,18173.360246540837,24781.856258416312,36028.68668876721,2065.1545734705496,66332.76489987405,68838.48578235166,190222.91749120335
Kumaramangalam,2025,3,0.6614117107902762,21971.655253733785,24342.77291855761,34433.83916247212,26316.511263305525,63396.47563330301,65791.27815826381,868444.8716890824
Manakkad,2025,3,0.6454662210985637,26038.773766741167,36126.65627150496,34767.52235837796,26571.53300346055,64010.82300533647,66428.83250865138,183564.26905267235
Muttom,2025,3,0.6450832504982855,26044.835517608142,36135.06645210473,34775.61613655225,26577.718779129696,64025.72453892344,66444.29694782423,183607.00228108946
Purapuzha,2025,3,0.6444854476072468,26054.30332894798,36148.20226137831,34788.257758826454,26587.380304044065,64048.99915244215,66468.45076011016,201083.31136331082
Udumbannoor,2025,3,0.5505324803558154,27633.03782076706,38338.566479019224,36896.21749740564,28198.41606282673,67929.9842953496,70496.04015706683,194803.27432902713
Vannappuram,2025,3,0.5773936565616619,27162.47938095161,37685.70535878545,36267.91789989911,20095.71667043208,66773.21580561501,69295.57472562786,191486.001525589
Velliyamattom,2025,3,0.5876603788922932,26986.83121505715,37442.007979990514,36033.38874773359,27538.98792291153,66341.42190629386,68847.46980727883,190247.7432469276
Keerikode,2025,3,0.6591833249367609,29645.837961802546,35827.98337143711,34480.08593877382,73047.34473788149,63481.62102220652,65879.63991511677,182046.67295480036
Alakode,2025,4,0.5602892318914667,65075.61243573809,75937.85317816472,55609.42280116575,35233.01787630269,67505.20665474064,70055.21653667564,175236.11864484043
Arakkulam,2025,4,0.5064916716065465,44791.65821194057,64874.8860917203,37974.84228438625,29022.769142409914,74526.466015567,72556.92285602477,227367.5540669096
Elappally,2025,4,0.5628745846581792,10608.08073953992,23633.89810710791,16086.045705003608,6993.93291521896,18454.465377418703,69939.3291521896,41109.51486043137
Kanjikuzhy,2025,4,0.5121059507428016,28335.26490055311,39312.84877676618,37833.845970844144,19465.58531665121,69656.26118213424,72287.52717116463,199753.73020550798
Karimkunnam,2025,4,0.6362400241558246,26185.59749148371,50262.879617818115,34963.56450607874,26721.36077502292,64371.75810703021,66803.4019375573,184599.32507924992
Karimannoor,2025,4,0.5921254331448041,26911.147689770718,37337.0033154878,35932.33450143425,108748.55334608097,66155.36995219925,68654.38973868747,64705.38924091817
Kodikkulam,2025,4,0.5580517425083886,27499.678927877016,38153.541987184646,36718.153878443474,37042.27377396568,67602.14963748735,70155.82154160165,193863.1406685741
Kudayathoor,2025,4,0.560925828870567,18487.034467793943,25209.593856615564,36650.54583240149,2100.7993713402207,67477.6758074479,70026.6457113407,193506.1862262687
Kumaramangalam,2025,4,0.6267981707820273,22439.148260445843,24860.71642222111,35166.49124611374,26876.450186184982,64745.36849851962,67191.12546546246,886922.8561441045
Manakkad,2025,4,0.6091062728069354,26627.155332170383,36942.987284676616,35553.14188925796,27171.952989612102,65457.234751975564,67929.88247403027,187712.15377833616
Muttom,2025,4,0.5996445636123858,26784.65181992899,37161.50070348023,35763.434536237655,27332.67189135057,65844.40658626352,68331.67972837642,188822.44906000947
Purapuzha,2025,4,0.6444586249891724,26054.728298367565,36148.79187148379,34788.82518699835,26587.81396843468,64050.04384995914,66469.5349210867,201086.59121528149
Udumbannoor,2025,4,0.4990896235227277,28581.294940402484,39654.19521503262,38162.35049213697,29166.07473891778,70261.07404605295,72915.18684729445,201488.15613641086
Vannappuram,2025,4,0.5521960940815334,27603.421265760124,38297.475945637496,36856.67284574093,20421.940321114434,67857.17825319264,70420.48386591184,194594.48795066666
Velliyamattom,2025,4,0.560718625294577,27452.688766313062,38088.34700411168,36655.411619248254,28014.377025677903,67486.63425485807,70035.94256419476,193531.876426355
Keerikode,2025,4,0.6270852951699042,30230.67084806005,36534.77340890883,35160.28557435037,74488.37296961994,64733.94317597925,67179.26855124455,185637.96564535977
Alakode,2025,5,0.5438123388768725,65770.15533901798,76748.32725656523,56202.93438740215,35609.05494474034,68225.68027706408,70802.90605755923,177106.38921237868
Arakkulam,2025,5,0.5447944370275696,43681.06101131123,63266.33062043825,37033.26621377457,28303.15733407816,72678.60219820062,70757.8933351954,221730.03629818058
Elappally,2025,5,0.4469609732609603,11457.876256652038,25527.169958673392,17374.671787686082,7554.205125080905,19932.82157902425,75542.05125080905,44402.72899565521
Kanjikuzhy,2025,5,0.5516550746636673,27613.045819018233,38310.82922142679,36869.52375314496,18969.439711580257,67880.83818359602,70445.03755043173,194662.33769273246
Karimkunnam,2025,5,0.4711180757172962,29124.734023208126,55904.51012567426,38887.961868122526,29720.632709024056,71597.00419603895,74301.58177256015,205319.21204186557
Karimannoor,2025,5,0.5547301452408729,27558.43051165765,38235.05497591687,36796.600237745246,111364.23779393265,67746.57799130902,70305.70567798777,66261.72148738992
Kodikkulam,2025,5,0.5977894151176134,26815.75072823105,37204.64788009891,35804.958457425295,36121.01735931933,65920.85668075779,68411.01772598359,189041.68551184636
Kudayathoor,2025,5,0.5455449399890406,18671.01295689572,25460.473628419393,37015.283187045774,2121.7060178290594,68149.19729266939,70723.53392763532,195431.91292060557
Kumaramangalam,2025,5,0.4767324516196624,24719.417050775104,27387.065243702207,38740.11407364557,29607.638101299683,71324.80018603093,74019.09525324921,977052.0573428895
Manakkad,2025,5,0.454658937795339,29454.27382238251,40865.381589786484,39327.97038919985,30056.914967480498,72407.10815666051,75142.28741870123,207642.35263600815
Muttom,2025,5,0.4747661783622577,29052.688691017323,40308.21526027568,38791.7654143187,29647.113312941805,71419.89597087681,74117.78328235452,204811.3175895103
Purapuzha,2025,5,0.4714879860045908,29117.41249640507,40398.0142151256,38878.18601043034,29713.161382116505,71579.00576951867,74282.90345529126,224723.94096230826
Udumbannoor,2025,5,0.5656569688548624,27366.09840106799,37968.2099965223,36539.79432917741,27926.015001855183,67273.77013946914,69815.03750463796,192921.44456632948
Vannappuram,2025,5,0.5986353354849953,26801.561132139854,37184.96098296581,35786.012208121225,19828.697199654467,65885.97455719669,68374.81792984299,188941.65381073914
Velliyamattom,2025,5,0.5452212447656923,27728.018118529617,38470.34382769822,37023.03720311248,28295.33967909548,68163.47328694102,70738.3491977387,195472.85228570722
Keerikode,2025,5,0.5580372150840774,31570.41405929809,38153.89773779706,36718.4962452343,77789.5002421105,67602.77997231031,70156.47568732909,193864.94828399917
Alakode,2025,6,0.4354684198962172,70734.24669946104,82541.01097912829,60444.926816733365,38296.69649117685,73375.10570076846,76146.85108008349,190473.73329172083
Arakkulam,2025,6,0.3967217667466692,48311.88405612808,69973.4749757977,40959.32704281844,31303.700594457907,80383.58321588587,78259.25148614476,245236.62102953138
Elappally,2025,6,0.4325927629825959,11572.79319582204,25783.19508685717,17548.931315036545,7629.970136972411,20132.73810749552,76299.7013697241,44848.066822027125
Kanjikuzhy,2025,6,0.4134794318753687,30312.37788522548,42055.930376807555,40473.72911263155,20823.810186574614,74516.57566764444,77331.44008680413,213691.68685112742
Karimkunnam,2025,6,0.3885132091127612,30857.410927605,59230.358645670705,41201.46877720778,31488.760577177407,75856.42423042038,78721.90144294352,217533.97961537965
Karimannoor,2025,6,0.4336330723063742,29886.254369865444,41464.719058389775,39904.75996760084,120771.02638365953,73469.04105005955,76244.3348381689,71858.76069827743
Kodikkulam,2025,6,0.4461409355187152,29627.764223845606,41106.085247962124,39559.61844858491,39908.82062908944,72833.59764808822,75584.88755509365,208865.39942836147
Kudayathoor,2025,6,0.4369621470427401,20081.871787219527,27384.372140289644,39812.31081816272,2282.03088491131,73298.83202335126,76067.69616371034,210199.5551855249
Kumaramangalam,2025,6,0.4045354118583239,25990.064070867422,28794.836825431026,40731.464047821864,31129.553324790297,74991.09395941984,77823.88331197575,1027275.2597180799
Manakkad,2025,6,0.3908538023883461,30805.482645570548,42740.07266178654,41132.13303494748,31435.769830675592,75728.7695220975,78589.42457668898,217167.90334695758
Muttom,2025,6,0.4238616030712321,30091.353386861807,41749.27707003145,40178.61252006667,30707.029324824543,73973.23364350232,76767.57331206134,212133.54126223325
Purapuzha,2025,6,0.3860350831337278,30912.581646294537,42888.663713763,41275.133889580175,31545.06010132613,75992.04978409463,78862.65025331533,238578.7945179573
Udumbannoor,2025,6,0.404481187686302,30506.58353251639,42325.374734230616,40733.036607093294,31130.755173750083,74993.98921356395,77826.8879343752,215060.76889816267
Vannappuram,2025,6,0.4457432153871207,29635.914743357327,41117.39342320386,39570.501194903714,21925.647419699028,72853.63397800685,75605.68075758286,208922.85774686644
Velliyamattom,2025,6,0.4366384518193918,29823.733742987977,41377.97683245722,39821.28110210992,30433.93412213682,73315.34730022759,76084.83530534206,210246.9161564618
Keerikode,2025,6,0.4796783833101465,33242.27788606547,40174.400901239664,38662.985333353216,81908.97271126533,71182.79771336153,73871.72863570105,204131.38931658643
Alakode,2025,7,0.4833994310432339,68448.70991410354,79873.9787324297,58491.85443420188,37059.26889885157,71004.23853198189,73686.42437939174,184319.22194261051
Arakkulam,2025,7,0.4208427793743293,47491.71480003554,68785.56657523863,40263.97885992143,30772.27166488703,79018.94706194013,76930.67916221757,241073.34855597673
Elappally,2025,7,0.4995364826331451,11056.149664806044,24632.157413829613,16765.4953988542,7289.345825588783,19233.953455521278,72893.45825588783,42845.91719314252
Kanjikuzhy,2025,7,0.4106944405694258,30372.220546006603,42138.957145110035,40553.63230105857,20864.92052816128,74663.68620371437,77484.10772490078,214113.55672806012
Karimkunnam,2025,7,0.5328555103228456,27951.703460279776,53652.89474849355,37321.7066101363,28523.601673840272,68713.35643228122,71309.00418460068,197049.755891998
Karimannoor,2025,7,0.4712306683318732,29122.50512054648,40405.07981212816,38884.98579006995,117684.69848192671,71591.52490983874,74295.89550626685,70022.39559674638
Kodikkulam,2025,7,0.4680761174184252,29185.08254690736,40491.9008426708,38968.5404954344,39312.52508997165,71745.35828919825,74455.53994312813,205744.64807585455
Kudayathoor,2025,7,0.472661743413162,19595.05618250047,26720.532642429138,38847.19888180718,2226.7109298295986,71521.95506612671,74223.69766098663,205103.99314561376
Kumaramangalam,2025,7,0.5337355725316792,23800.69028701231,26369.192137365415,37300.291299606244,28507.23474309775,68673.92849612248,71268.08685774436,940738.7465222257
Manakkad,2025,7,0.5420197464109232,27785.58625576917,38550.21488172229,37099.90339952158,28354.08567352331,68304.99238751766,70885.21418380828,195878.68756534698
Muttom,2025,7,0.5357181849716944,27899.599738600293,38708.39920873612,37252.13661714532,28470.431898158367,68585.27044266352,71176.07974539592,196682.44283529662
Purapuzha,2025,7,0.5470273438550872,27695.646649160626,38425.43107729862,36979.81413142938,28262.305882096658,68083.89486997086,70655.76470524166,213750.95961110358
Udumbannoor,2025,7,0.416096436112899,30256.359368864403,41978.20929425792,40398.93200284772,30875.411366768105,74378.86598254436,77188.52841692026,213296.7758579542
Vannappuram,2025,7,0.4612217285271253,29321.985729836917,40681.84274533015,39151.33652554224,21693.39216708175,72081.90583517234,74804.80057614399,206709.76774433703
Velliyamattom,2025,7,0.4725445808368363,29096.51988101506,40369.02743020366,38850.28974775669,29691.84129906124,71527.64568943853,74229.60324765311,205120.31218448316
Keerikode,2025,7,0.534631145291302,32051.923454650863,38735.81789239406,37278.523772655935,78975.93939225974,68633.85209089238,71226.4965658908,196821.76075573274
Alakode,2025,8,0.4315323920601713,70928.73196959186,82767.95919115,60611.12138963858,38401.99404801449,73576.85206718871,76356.21841758894,190997.44474975698
Arakkulam,2025,8,0.4258179403224897,47326.00014730723,68545.550472941,40123.48422201827,30664.896803101587,78743.22323460605,76662.24200775396,240232.16212153848
Elappally,2025,8,0.4101722236445767,11756.790767712297,26193.12596622925,17827.944401730372,7751.2801746653795,20452.831525272908,77512.80174665379,45561.11295182439
Kanjikuzhy,2025,8,0.4307825787733042,29945.795613987968,41547.32763587739,39984.260698119855,20571.977761453847,73615.41061696722,76396.23351698548,211107.40975458713
Karimkunnam,2025,8,0.4789907213788141,28969.703496216778,55606.931247904235,38680.96182420005,29562.43022217131,71215.89440521068,73906.07555542828,204226.3009231259
Karimannoor,2025,8,0.4767570686866406,29013.52130320608,40253.87373216897,38739.46828836164,117244.29242379311,71323.61122447415,74017.86137865727,69760.35399215692
Kodikkulam,2025,8,0.4355208089535274,29846.953387763162,41410.19217919567,39852.28446371622,40204.070076889,73372.42789032242,76144.07211532006,210410.60654983445
Kudayathoor,2025,8,0.4249236071893653,20251.534506414464,27615.73040659052,40148.66715896668,2301.31073936528,73918.1009484128,76710.35797884267,211975.43686051093
Kumaramangalam,2025,8,0.4947484155803973,24421.477864437704,27056.973319684843,38273.18566501798,29250.78196722686,70465.13375904951,73126.95491806716,965275.8049184864
Manakkad,2025,8,0.4733843442547806,29079.936161308226,40346.01888352943,38828.146813882086,29674.918272675368,71486.87811887496,74187.29568168843,205003.4027472942
Muttom,2025,8,0.4793516725275023,28962.635097303715,40183.273308121985,38671.52394822904,29555.217202207987,71198.51824011905,73888.04300551997,204176.47117724497
Purapuzha,2025,8,0.4763528673333288,29021.46473247328,40264.8945867347,38750.074523398805,29615.250505100546,71343.13846678722,74038.12626275136,223983.430120559
Udumbannoor,2025,8,0.4166688695906593,30244.133679862785,41961.247156631915,40382.608003894544,30862.935537387402,74348.81170956625,77157.3388434685,213210.58901654027
Vannappuram,2025,8,0.4208759034388731,30154.58462509091,41837.00521074912,40263.04020888841,22309.376859218235,74128.67428118168,76928.88572144219,212579.29942775966
Velliyamattom,2025,8,0.424655307947909,30074.58887281008,41726.017686078456,40156.22818575268,30689.921805000333,73932.02162824581,76724.80451250084,212015.35728799942
Keerikode,2025,8,0.5016553470305384,32755.77188684941,39586.4421843204,38097.14642253165,80710.22192919694,70141.02620037354,72790.60419299868,201143.8941193196
Alakode,2025,9,0.4273195288611945,71138.08456277271,83012.2563385512,60790.02061828911,38515.341020588516,73794.0208273035,76581.59072987079,191561.19105169878
Arakkulam,2025,9,0.4296567720116389,47198.92310850824,68361.4959247046,40015.74696247042,30582.5571955141,78531.78648518721,76456.39298878524,239587.1046121005
Elappally,2025,9,0.4250109141847875,11634.366877332557,25920.37599173801,17642.301367482665,7670.565811948984,20239.855445824272,76705.65811948985,45086.683423580056
Kanjikuzhy,2025,9,0.4288422299043983,29986.461608757712,41603.748357841716,40038.55879583553,20599.914235436187,73715.37937190401,76499.97859267745,211394.0908276699
Karimkunnam,2025,9,0.496684019994537,28627.2333369046,54949.564678521914,38223.68841234025,29212.953045466198,70374.00388652808,73032.3826136655,201812.00580194828
Karimannoor,2025,9,0.4802014773506609,28946.007234560926,40160.20351661721,38649.322073637675,116971.46655325401,71157.64215322952,73845.622824024,69598.02259918614
Kodikkulam,2025,9,0.4286936235520097,29989.58066704093,41608.07579459038,40042.72342853177,40396.19009183532,73723.04691759947,76507.93577999115,211416.0791001984
Kudayathoor,2025,9,0.4220736706693409,20292.120018239035,27671.07428942596,40229.12793615889,2305.922729345345,74066.23806657249,76864.09097817817,212400.2506738294
Kumaramangalam,2025,9,0.496978051484251,24385.10391505499,27016.673998593684,38216.18064157828,29207.215133614798,70360.18125687804,73018.037834037,963838.0994092883
Manakkad,2025,9,0.4964428561097098,28631.84684738727,39724.33182683579,38229.848469272794,29217.660949423207,70385.3452271605,73044.15237355801,201844.5294410069
Muttom,2025,9,0.4815297706670473,28920.055148610994,40124.19713255932,38614.67029868877,29511.766058075405,71093.84443390367,73779.41514518853,203876.29739686276
Purapuzha,2025,9,0.5176198715912016,28232.315268168364,39170.014631972765,37696.38544072136,28809.954863175026,69403.18126538863,72024.88715793756,217892.88970427756
Udumbannoor,2025,9,0.4181663194279457,30212.198728061052,41916.94003844258,40339.96777971476,30830.347189204604,74270.30637879389,77075.86797301151,212985.45874976076
Vannappuram,2025,9,0.4164739725345686,30248.29506421048,41967.02073503809,40388.1643724335,22378.706996839224,74359.04159363544,77167.95516151458,213239.9253241128
Velliyamattom,2025,9,0.4217513063484968,30136.017797684864,41811.24526530164,40238.24938760218,30752.607579656986,74083.03165939369,76881.51894914247,212448.40977327945
Keerikode,2025,9,0.4958032191001128,32883.92441727183,39741.318789086916,38246.19635891495,81025.98976415778,70415.44348551807,73075.3875939374,201930.84241959028
Alakode,2025,10,0.4653577013854254,69291.46190464377,80857.40054788241,59212.01595100288,37515.548829790605,71878.45461924946,74593.66398842826,186588.59110065442
Arakkulam,2025,10,0.4632990952719052,46113.78512551931,66789.8148159789,39095.755486249145,29879.44169532588,76726.28291064291,74698.6042383147,234078.82072919834
Elappally,2025,10,0.4435440243050192,11484.997686725024,25587.594189088126,17415.79860171126,7572.086348570113,19980.003675819804,75720.86348570113,44507.83272365247
Kanjikuzhy,2025,10,0.4467564673058247,29615.15890216716,41088.59640123115,39542.787556039206,20344.838994784357,72802.61012839501,75552.72948152243,208776.53630904542
Karimkunnam,2025,10,0.5461049809110701,27712.169096533326,53193.1119654872,37001.87525318539,28279.166382502495,68124.51181544851,70697.91595625624,195361.12221101124
Karimannoor,2025,10,0.5119262748100888,28338.632237462654,39317.520679681846,37838.342110421974,114517.05052334518,69664.53906836832,72296.1177546371,68137.64506139039
Kodikkulam,2025,10,0.4711545056333024,29124.012813022448,40407.171611393765,38886.99889300395,39230.26370038229,71595.2312531977,74299.74185678465,205314.12776171655
Kudayathoor,2025,10,0.4669794191117611,19670.957359083135,26824.034252610138,38997.67296438231,2235.3360635321746,71798.99436065345,74511.20211773916,205898.46059988203
Kumaramangalam,2025,10,0.5511240516368842,23533.878741341006,26073.587059217192,36882.14593257593,28187.661685640203,67904.07700070726,70469.15421410052,930192.8356261267
Manakkad,2025,10,0.535838683130178,27897.410804028026,38705.36224211083,37249.213905332384,28468.198177486633,68579.8894095653,71170.49544371659,196667.01161037176
Muttom,2025,10,0.5120223050305642,28336.832419369566,39315.023580157016,37835.93895517538,28916.610459074,69660.11459590927,72291.52614768501,199764.78066619197
Purapuzha,2025,10,0.5423662115918284,27779.34471721865,38541.55526050358,37091.56956502346,28347.716431673707,68289.64888390196,70869.29107918427,214396.92908752098
Udumbannoor,2025,10,0.4677286948943604,29191.990877499222,40501.485582986825,38977.76464479193,29789.265653859093,71762.34096014655,74473.16413464774,205793.34939592547
Vannappuram,2025,10,0.4665505704999887,29215.441685991507,40534.02165036385,39009.076661090454,21614.567296641504,71819.98981739227,74532.99067807416,205958.66941284115
Velliyamattom,2025,10,0.4668725300445915,29209.029274477947,40525.12495696741,39000.51467339218,29806.652660317308,71804.2262587044,74516.63165079328,205913.4641492256
Keerikode,2025,10,0.5431210043242038,31875.581929196407,38522.70328083149,37073.426822450696,78541.43387353995,68256.24610438591,70834.62650932535,195738.897520289
Alakode,2025,11,0.7127308677062361,59283.55660350015,69179.00345051053,50659.90531516524,32097.10260728693,61496.904753669434,63819.9509689388,159639.22535370354
Arakkulam,2025,11,0.6390656965140977,41168.734235147276,59627.55233146287,34903.28896130854,26675.29440277316,68498.4748356939,66688.2360069329,208977.17969683855
Elappally,2025,11,0.6617658523361201,9976.796524324944,22227.450778383736,15128.769173260709,6577.725727504657,17356.24478699916,65777.25727504656,38663.097976573714
Kanjikuzhy,2025,11,0.6449092206568606,26047.591036598584,36138.88950799473,34779.29536388328,17894.01325153137,64032.49840008775,66451.32669166433,183626.42772845775
Karimkunnam,2025,11,0.7211488402839783,24893.792837190478,47783.27907215194,33238.71956510218,25403.125503536387,61196.12933801915,63507.81375884096,175492.55303044253
Karimannoor,2025,11,0.6867359242898662,25401.677912349318,35242.73819034659,33916.858476874804,102648.7520107182,62444.657473186904,64803.50505727159,61076.007446377334
Kodikkulam,2025,11,0.7210300738453648,24895.510731121438,34540.47287109823,33241.01333347196,33534.43968067789,61200.35241723715,63512.196364920244,175504.6635832117
Kudayathoor,2025,11,0.7095172659686181,16880.139308595746,23018.373063247178,33464.87617929106,1918.197648704062,61612.50847637447,63939.92162346873,176686.60629506942
Kumaramangalam,2025,11,0.7134308428438647,21304.603857493654,23603.73525953004,33388.44043279144,25517.55163192437,61471.781881305804,63793.87907981092,842079.203853504
Manakkad,2025,11,0.7036358594465704,25149.695244099046,34893.132969924045,33580.40588003612,25664.26373192413,61825.21133020522,64160.65932981032,177296.57570423643
Muttom,2025,11,0.6825806636750881,25464.409283306544,35329.77280635091,34000.61873232558,25985.416891990964,62598.86929280624,64963.54222997741,179515.19986393198
Purapuzha,2025,11,0.7129913163930536,25012.340846080973,34702.56504345292,33397.00737798322,25524.099031665875,61487.5545672831,63810.24757916469,193041.59695913244
Udumbannoor,2025,11,0.6060205959792768,26678.31457408835,37013.96652373133,35621.4507928628,27224.158961261648,65582.99893767931,68060.39740315411,188072.80858228685
Vannappuram,2025,11,0.7074015516900282,25094.227324316325,34816.175794826755,33506.34393846798,18565.554171263164,61688.85517044546,64019.152314700565,176905.54622481478
Velliyamattom,2025,11,0.7095131247175896,25063.23119284511,34773.17121260494,33464.95724708218,25576.030606505545,61612.65773107186,63940.07651626387,176687.03431377225
Keerikode,2025,11,0.6674606872529056,29498.67446712381,35650.13138266803,34308.9249835628,72684.73388699305,63166.49492560111,65552.60992694179,181142.98372121603
Alakode,2025,12,0.6728400857041494,60697.24070456181,70828.65578090906,51867.948604206205,32862.49466953354,62963.36866871789,65341.81057359681,163446.0049687951
Arakkulam,2025,12,0.6359238838051415,41247.79931495452,59742.06780713598,34970.32117346009,26726.524646306767,68630.02703131459,66816.31161576693,209378.52303900322
Elappally,2025,12,0.6437016723573886,10086.44090265554,22471.729091219702,15295.033413176288,6650.014527467951,17546.98884649605,66500.14527467951,39088.00303819751
